course	order	source_id	chapter	title_en	canonical_path	source_sha256	indonesian_path	bridge_lane	telugu_status
A10	70	m82546	Roots and Radicals	Simplify Square Roots	downloads/upstream-prealgebra/modules/m82546/index.cnxml	0737edec5c17747728067c54273f9798d62e7c70f390df061cbb4c6eea508491	downloads/releases/A10/extracted/translated/modules/m82546/index.cnxml	A10-later-extension	not_started
A10	71	m82547	Roots and Radicals	Add and Subtract Square Roots	downloads/upstream-prealgebra/modules/m82547/index.cnxml	d7a1e469ca2b898f73dc01c897758bfe1534fb7dc8612dd4a73ae093ba50813d	downloads/releases/A10/extracted/translated/modules/m82547/index.cnxml	A10-later-extension	not_started
A10	72	m82548	Roots and Radicals	Multiply Square Roots	downloads/upstream-prealgebra/modules/m82548/index.cnxml	9299efb5ac0db7219f6f0d19665820736426336a2bf845a30e6f07171d597076	downloads/releases/A10/extracted/translated/modules/m82548/index.cnxml	A10-later-extension	not_started
A10	73	m82550	Roots and Radicals	Divide Square Roots	downloads/upstream-prealgebra/modules/m82550/index.cnxml	87d4ce8604efcc90b1b2fd8c41da2fdd41ca3bd8a112373bf8c44ce7dd1fb65e	downloads/releases/A10/extracted/translated/modules/m82550/index.cnxml	A10-later-extension	not_started
A10	74	m82551	Roots and Radicals	Solve Equations with Square Roots	downloads/upstream-prealgebra/modules/m82551/index.cnxml	48fd8df46c6fa424a89ddfe18fbba20398891d9745dc2660bdb5c26ef437fa65	downloads/releases/A10/extracted/translated/modules/m82551/index.cnxml	A10-later-extension	not_started
A10	75	m82552	Roots and Radicals	Higher Roots	downloads/upstream-prealgebra/modules/m82552/index.cnxml	3d9a9e6e67dd492b4059acfb0c80ddd35633168aa1481efa36f006ba730f7580	downloads/releases/A10/extracted/translated/modules/m82552/index.cnxml	A10-later-extension	not_started
A10	76	m82553	Roots and Radicals	Rational Exponents	downloads/upstream-prealgebra/modules/m82553/index.cnxml	44dfacc317bde3e6f72f19fb6314e4be167371f09a5fee586b925214c4d7de4b	downloads/releases/A10/extracted/translated/modules/m82553/index.cnxml	A10-later-extension	not_started
A10	77	m82554	Quadratic Equations	Introduction	downloads/upstream-prealgebra/modules/m82554/index.cnxml	14bac37adacd4865bb1ac6117aa5ad9a66a2349ccfe8df537050321b6d54963b	downloads/releases/A10/extracted/translated/modules/m82554/index.cnxml	A10-later-extension	not_started
A10	78	m82555	Quadratic Equations	Solve Quadratic Equations Using the Square Root Property	downloads/upstream-prealgebra/modules/m82555/index.cnxml	39b7bb8a8862a469f2ba86541a0ac3eb3ae0df40924499c63f20b5b7c0d13776	downloads/releases/A10/extracted/translated/modules/m82555/index.cnxml	A10-later-extension	not_started
A10	79	m82556	Quadratic Equations	Solve Quadratic Equations by Completing the Square	downloads/upstream-prealgebra/modules/m82556/index.cnxml	78df45714ef59bf6a45c5c36f914559f9df5c8a65a165e97cb14ae270608e3cb	downloads/releases/A10/extracted/translated/modules/m82556/index.cnxml	A10-later-extension	not_started
A10	80	m82557	Quadratic Equations	Solve Quadratic Equations Using the Quadratic Formula	downloads/upstream-prealgebra/modules/m82557/index.cnxml	6c017c764f00bcf62c37523f694c8720aa94715c9608c80dca9b022367928301	downloads/releases/A10/extracted/translated/modules/m82557/index.cnxml	A10-later-extension	not_started
A10	81	m82558	Quadratic Equations	Solve Applications Modeled by Quadratic Equations	downloads/upstream-prealgebra/modules/m82558/index.cnxml	fc95d33688fbb6cbffc71b599e0d4b832e1a2d1f4c04cf12366784fa17584d83	downloads/releases/A10/extracted/translated/modules/m82558/index.cnxml	A10-later-extension	not_started
A10	82	m82559	Quadratic Equations	Graphing Quadratic Equations in Two Variables	downloads/upstream-prealgebra/modules/m82559/index.cnxml	219f15bbd757950d8609730c661ebd207872ab2de44715adcfae29854467871a	downloads/releases/A10/extracted/translated/modules/m82559/index.cnxml	A10-later-extension	not_started
