decision_rank,group_key,representative_label,representative_language_tag,representative_edition_target_id,member_count,member_edition_target_ids,member_labels,population_basis_classes,group_need_p05_min,group_need_median_max_nonadditive,group_need_p95_max,aggregation_rule,model_status
88,language:gui,Bolivian Guaraní,gui-BO,edition-target:lang:gui-BO,1,edition-target:lang:gui-BO,Bolivian Guaraní,DIRECT_OR_DERIVED_PERSON_MEASURE,5565.581978,7505.481301,9131.724276,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
89,language:caa,Ch’orti’,caa-GT,edition-target:lang:caa-GT,1,edition-target:lang:caa-GT,Ch’orti’,DIRECT_OR_DERIVED_PERSON_MEASURE,5328.929997,7247.687913,8988.978699,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
90,language:dhv,Drehu,dhv-Latn-NC,edition-target:lang:dhv-Latn-NC,1,edition-target:lang:dhv-Latn-NC,Drehu,DIRECT_OR_DERIVED_PERSON_MEASURE,5084.196902,6853.012841,8702.721976,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
91,language:ojs,Oji-Cree,ojs-CA,edition-target:lang:ojs-CA,1,edition-target:lang:ojs-CA,Oji-Cree,DIRECT_OR_DERIVED_PERSON_MEASURE,5012.970082,6607.845011,8208.415441,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
92,language:pau,Palauan,pau-Latn-PW,edition-target:lang:pau-Latn-PW,1,edition-target:lang:pau-Latn-PW,Palauan,DIRECT_OR_DERIVED_PERSON_MEASURE,3932.457818,5337.930877,6736.098404,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
93,language:crk,Nehiyawewin,crk-CA,edition-target:lang:crk-CA,1,edition-target:lang:crk-CA,Nehiyawewin,DIRECT_OR_DERIVED_PERSON_MEASURE,3930.937038,5300.664993,6433.426414,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
94,language:prl,Peruvian Sign Language,prl-PE,edition-target:lang:prl-PE,1,edition-target:lang:prl-PE,Peruvian Sign Language,DIRECT_OR_DERIVED_PERSON_MEASURE,3712.327014,4786.634563,6072.917664,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
95,language:moe,Innu-Aimun,moe-CA,edition-target:lang:moe-CA,1,edition-target:lang:moe-CA,Innu-Aimun,DIRECT_OR_DERIVED_PERSON_MEASURE,3545.740970,4620.397838,5821.721166,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
96,language:poc,Poqomam,poc-GT,edition-target:lang:poc-GT,1,edition-target:lang:poc-GT,Poqomam,DIRECT_OR_DERIVED_PERSON_MEASURE,3341.080070,4598.772982,5852.977014,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
97,language:agu,Awakateko,agu-GT,edition-target:lang:agu-GT,1,edition-target:lang:agu-GT,Awakateko,DIRECT_OR_DERIVED_PERSON_MEASURE,3199.049067,4300.731797,5385.775184,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
98,language:ch,CHamoru,ch-Latn-MP,edition-target:lang:ch-Latn-MP,1,edition-target:lang:ch-Latn-MP,CHamoru,DIRECT_OR_DERIVED_PERSON_MEASURE,3016.793577,4114.576254,5495.487272,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
99,language:nen,Nengone,nen-Latn-NC,edition-target:lang:nen-Latn-NC,1,edition-target:lang:nen-Latn-NC,Nengone,DIRECT_OR_DERIVED_PERSON_MEASURE,3108.466388,4017.245990,4946.457392,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
100,language:mic,Mi’kmaq,mic-CA,edition-target:lang:mic-CA,1,edition-target:lang:mic-CA,Mi’kmaq,DIRECT_OR_DERIVED_PERSON_MEASURE,3053.851475,3959.920780,4958.780757,max member median; members overlap and are not summed,L-M_LANGUAGE_GROUP_VIEW
